# MGA SCAN
# Sequence: EARTH → JUPITER → SATURN
# v∞ bounds: {'EARTH': (3, 13), 'JUPITER': (3, 13), 'SATURN': (0, 100)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'JUPITER': 5000}
# Grid resolution: 7 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.803489413109366,163.9293411516036,1.5026039944624863,12.638475125629476,-1.3930071379120796,JUPITER,-637329549.8160741,1979 OCT 22 00:00:00,821.0000231479729,6.424321404925795,1049190.0,979244.0,96.39291414691648,0.649088066957284,6.3908769931682885,0.08533143215518635,-6.423409963923839,-0.06654694461831712,0.08533143215518633,SATURN,-557151512.3326375,1982 MAY 06 23:40:35,927.9865449471827,1748.9865680951557,7.967572546436474,37627590.091922,0.6863076627142521,-7.619785078491027,-2.3274650873887808,0.06319736798335197
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.806800235856691,164.014132281139,1.4792511921845701,12.646239643487608,-1.3778864507070123,JUPITER,-636724749.8160741,1979 OCT 29 00:00:00,828.0000231479729,6.366113050601987,1049190.0,979244.0,96.98581932478477,0.693707393221624,6.327672456323116,0.0820165295801703,-6.3650688615443665,-0.08103733533908553,0.0820165295801703,SATURN,-555766660.0261467,1982 MAY 23 00:21:28,937.0149281241606,1765.0149512721337,7.8140712307161655,37314626.51614544,0.6805993699513835,-7.453530317306324,-2.3454160442883243,0.06015469139182256
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.811841890761613,164.1432926338741,1.4548869534047455,12.655745451381094,-1.3633428242865224,JUPITER,-636119949.8160741,1979 NOV 05 00:00:00,835.0000231479729,6.311767108486474,1049190.0,979244.0,97.54255205488602,0.7366781764026715,6.268133271934152,0.07883261670015512,-6.310597388051686,-0.09246651410721773,0.07883261670015511,SATURN,-554383086.3890934,1982 JUN 08 00:41:01,946.0285118863511,1781.028535034324,7.663061547313273,38068850.37994495,0.6943560207457345,-7.290522851835195,-2.359559773909419,0.05715328624519983
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.818591857259797,164.31629720300717,1.429503876241025,12.666968201100484,-1.3493451979120101,JUPITER,-635515149.8160741,1979 NOV 12 00:00:00,842.0000231479729,6.258774005714647,1049190.0,979244.0,98.08837599815253,0.7799824381132083,6.209520722140878,0.07570899647577478,-6.257493616814298,-0.10145855306637785,0.07570899647577477,SATURN,-552988533.6729707,1982 JUN 24 04:03:34,955.1691683229569,1797.16919147093,7.513197373870781,39734585.70278615,0.7247381662226818,-7.129872048186561,-2.3685665786019765,0.05432971522563189
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.826997254265654,164.53185856093864,1.403127089349617,12.679849402643082,-1.3358563015398635,JUPITER,-634910349.8160741,1979 NOV 19 00:00:00,849.0000231479729,6.210326246608276,1049190.0,979244.0,98.5899337942195,0.8232015221275377,6.155095401103298,0.0727457668567637,-6.209006183839355,-0.10536769789987777,0.0727457668567637,SATURN,-551617621.0933458,1982 JUL 10 00:52:06,964.0362120686154,1813.0362352165882,7.368861941715478,42061742.784813896,0.7671843003979943,-6.976084636613724,-2.373122175700667,0.05158098547442934
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.837028409198307,164.78929837856444,1.3757544273370037,12.694355999168081,-1.3228468923546803,JUPITER,-634305549.8160741,1979 NOV 26 00:00:00,856.0000231479729,6.163074686922905,1049190.0,979244.0,99.0814558043352,0.8650829709314545,6.101659342577564,0.06981630991541299,-6.161718078429146,-0.10883750005899318,0.06981630991541299,SATURN,-550219215.5959823,1982 JUL 26 05:18:51,973.2214608806923,1829.2214840286654,7.2233671011565725,44959697.003412195,0.8200414773141979,-6.821894526731912,-2.3741079646055105,0.04897669459008823
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.848642432951666,165.08761236984608,1.3474067558449647,12.710438563859476,-1.3102896315331638,JUPITER,-633700749.8160741,1979 DEC 03 00:00:00,863.0000231479729,6.119442675711161,1049190.0,979244.0,99.53738619934292,0.9082297067100784,6.051297850508147,0.0670207848340248,-6.118140582125656,-0.10697052426881148,0.0670207848340248,SATURN,-548845354.1447927,1982 AUG 11 02:56:33,982.1226350842761,1845.122658232249,7.083669374687578,48074208.962093756,0.8768485547176804,-6.675272966574699,-2.3700089033410094,0.04648042263225173
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.86180638520089,165.42606349039437,1.3180871358522381,12.728059690847843,-1.2981549595135116,JUPITER,-633095949.8160741,1979 DEC 10 00:00:00,870.0000231479729,6.0782489195632765,1049190.0,979244.0,99.96965377829545,0.9493278909946747,6.003311859803704,0.06428994860733045,-6.0770132367555245,-0.10434007369339293,0.06428994860733046,SATURN,-547453290.6157792,1982 AUG 27 05:37:36,991.2344814848955,1861.2345046328685,6.943894529031897,51510565.52104938,0.9395259101493783,-6.529198214163037,-2.3633237114469114,0.04407885436478616
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.89266109752569,166.2207101756523,1.2565662211963158,12.767770186937653,-1.2750670417459518,JUPITER,-631886349.8160741,1979 DEC 24 00:00:00,884.0000231479729,6.003305281942884,1398920.0,1328974.0,91.36977729681948,1.0326305609100936,5.91353183028052,0.059073895562803624,-5.9365268446335815,0.8909734036497505,0.059073895562803624,SATURN,-538813753.9251244,1982 DEC 05 05:29:53,1077.2291191082145,1961.2291422561873,6.249912803887867,52753446.54854881,0.962195413323278,-6.043594321027729,-1.5919203397606658,0.046555030868519115
EARTH → JUPITER → SATURN,-707659151.816059,1977 JUL 30 00:00:00,12.8950709774381,166.28285551316642,1.3903046086907977,12.046854717993298,-4.384426987849399,JUPITER,-651239949.8160741,1979 MAY 14 00:00:00,653.0000231479729,8.8119879679861,419676.0,349730.0,105.41283912351551,-0.5690770246515022,8.76791186826027,0.6715688783485168,-8.301336746936954,-2.878877455453723,0.6715688783485168,SATURN,-588537404.1887113,1981 MAY 08 17:22:25,725.723907724107,1378.72393087208,12.297542790116811,48256510.09226392,0.8801736324665239,-11.604769837241143,-4.031381151457969,0.5539329481819459
EARTH → JUPITER → SATURN,-707659151.816059,1977 JUL 30 00:00:00,12.8950709774381,166.28285551316642,1.3903046086907977,12.046854717993298,-4.384426987849399,JUPITER,-651239949.8160741,1979 MAY 14 00:00:00,653.0000231479729,8.8119879679861,489622.0,419676.0,100.5867157836436,-0.5690770246515022,8.76791186826027,0.6715688783485168,-8.514111437339725,-2.1702611875362834,0.6715688783485168,SATURN,-589393027.140872,1981 APR 28 19:42:02,715.820864296321,1368.820887444294,12.439983331996114,3224238.9606736996,0.05880844082032378,-11.952096216488231,-3.4038868691426654,0.5604779337556577
